Distance From Airport,Aeroporto1,Distance To Airport,Aeroporto2,Distance (km), Flght Time (Hr), Flight Time (Minutes)
"Congonhas Airport, São Paulo CGH",CGH,"Marechal Rondon Airport, Cuiabá CGB",CGB,"1328,53","  2,46 ",  148 
"Presidente Juscelino Kubistschek International Airport, Brasília BSB",BSB,"Hercílio Luz International Airport, Florianópolis FLN",FLN,"1313,77","  2,44 ",  146 
"Val de Cans/Júlio Cezar Ribeiro International Airport, Belém BEL",BEL,"Eduardo Gomes International Airport, Manaus MAO",MAO,"1299,01","  2,42 ",  145 
"Viracopos International Airport, Campinas VCP",VCP,"Marechal Rondon Airport, Cuiabá CGB",CGB,1247,"  2,37 ",  142 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Bahia - Jorge Amado Airport, Ilhéus IOS",IOS,"1236,02","  2,35 ",  141 
"Deputado Luiz Eduardo Magalhães International Airport, Salvador SSA",SSA,"Santos Dumont Airport, Rio De Janeiro SDU",SDU,1224,"  2,34 ",  140 
"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"Deputado Luiz Eduardo Magalhães International Airport, Salvador SSA",SSA,"1217,85","  2,33 ",  140 
"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"Campo Grande Airport, Campo Grande CGR",CGR,"1208,48","  2,32 ",  139 
"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"Salgado Filho Airport, Porto Alegre POA",POA,"1121,96","  2,23 ",  134 
"Salgado Filho Airport, Porto Alegre POA",POA,"Santos Dumont Airport, Rio De Janeiro SDU",SDU,"1119,97","  2,23 ",  134 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Porto Seguro Airport, Porto Seguro BPS",BPS,"1095,97","  2,20 ",  132 
"Presidente Juscelino Kubistschek International Airport, Brasília BSB",BSB,"Deputado Luiz Eduardo Magalhães International Airport, Salvador SSA",SSA,"1084,7","  2,19 ",  131 
"Presidente Juscelino Kubistschek International Airport, Brasília BSB",BSB,"Afonso Pena Airport, Curitiba CWB",CWB,"1081,89","  2,19 ",  131 
"Deputado Luiz Eduardo Magalhães International Airport, Salvador SSA",SSA,"Pinto Martins International Airport, Fortaleza FOR",FOR,"1015,68","  2,11 ",  127 
"Deputado Luiz Eduardo Magalhães International Airport, Salvador SSA",SSA,"Tancredo Neves International Airport, Belo Horizonte CNF",CNF,"959,52","  2,05 ",  123 
"Presidente Juscelino Kubistschek International Airport, Brasília BSB",BSB,"Eurico de Aguiar Salles Airport, Vitória VIX",VIX,"942,83","  2,03 ",  122 
"Presidente Juscelino Kubistschek International Airport, Brasília BSB",BSB,"Santos Dumont Airport, Rio De Janeiro SDU",SDU,"928,19","  2,02 ",  121 
"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"Santa Genoveva Airport, Goiânia GYN",GYN,"928,32","  2,02 ",  121 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Campo Grande Airport, Campo Grande CGR",CGR,"907,44","  1,99 ",  119 
"Presidente Juscelino Kubistschek International Airport, Brasília BSB",BSB,"Congonhas Airport, São Paulo CGH",CGH,"872,56","  1,96 ",  118 
"Presidente Juscelino Kubistschek International Airport, Brasília BSB",BSB,"Marechal Rondon Airport, Cuiabá CGB",CGB,"877,31","  1,96 ",  118 
"Viracopos International Airport, Campinas VCP",VCP,"Salgado Filho Airport, Porto Alegre POA",POA,"874,38","  1,96 ",  118 
"Presidente Juscelino Kubistschek International Airport, Brasília BSB",BSB,"Campo Grande Airport, Campo Grande CGR",CGR,"877,44","  1,96 ",  118 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Salgado Filho Airport, Porto Alegre POA",POA,"865,54","  1,95 ",  117 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Presidente Juscelino Kubistschek International Airport, Brasília BSB",BSB,"854,83","  1,94 ",  116 
